Gene,System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,System.Cardiovascular System.Heart.VENTRICLE,System.Urogenital/Reproductive System.Ovary.OOCYTE,System.Cardiovascular System.Heart.ATRIUM,System.Urogenital/Reproductive System.Ovary.GRANULOSA,System.Digestive System.Intestine.SMALL INTESTINE,System.Digestive System.Liver.HEPATOCYTE,System.Immune System.Myeloid.KUPFFER CELL,System.Respiratory System.Trachea.TRACHEA,System.Digestive System.Liver.LIVER,System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,System.Integumentary System.Skin.KERATINOCYTE,System.Integumentary System.Skin.BASAL CELL,System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,System.Urogenital/Reproductive System.Kidney.KIDNEY,System.Digestive System.Intestine.COLON,System.Urogenital/Reproductive System.Testis.TESTIS,System.Connective Tissue.Adipose tissue.ADIPOSE,System.Cardiovascular System.Heart.HEART,System.Cardiovascular System.Heart.VALVE,System.Urogenital/Reproductive System.Ovary.OVARY,System.Nervous System.CNS.MEDULLA,System.Urogenital/Reproductive System.Kidney.PODOCYTE,System.Nervous System.CNS.THALAMUS,System.Nervous System.Eye.RETINA,System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,System.Digestive System.Intestine.COLON MUCOSA,System.Nervous System.CNS.HYPOTHALAMUS,System.Digestive System.Pancreas.BETA CELL,System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,System.Nervous System.CNS.ASTROCYTE,System.Nervous System.CNS.CEREBRAL CORTEX,System.Urogenital/Reproductive System.Breast.BREAST,System.Respiratory System.Lung.LUNG EPITHELIAL CELL,System.Digestive System.Esophagus.ESOPHAGUS,System.Nervous System.PNS.SENSORY NEURON,System.Connective Tissue.Adipose tissue.ADIPOCYTE,System.Integumentary System.Skin.SKIN,System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,System.Connective Tissue.Bone marrow.CHONDROCYTE,System.Digestive System.Liver.HEPATIC STELLATE CELL,System.Integumentary System.Skin.MELANOCYTE,System.Muscular System.Smooth muscle.MYOFIBROBLAST,System.Connective Tissue.Bone.OSTEOBLAST,System.Nervous System.CNS.PONS,System.Connective Tissue.Bone marrow.BONE MARROW,System.Respiratory System.Lung.LUNG,System.Immune System.Myeloid.MICROGLIA,System.Digestive System.Pancreas.ALPHA CELL,System.Digestive System.Pancreas.PANCREATIC ISLET,System.Immune System.Granulocytic.GRANULOCYTE,System.Immune System.Granulocytic.NEUTROPHIL,System.Immune System.Lymphoid.BLYMPHOCYTE,System.Immune System.Lymphoid.PLASMA CELL,System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,System.Immune System.Lymphoid.TLYMPHOCYTE,System.Immune System.Myeloid.DENDRITIC CELL,System.Immune System.Myeloid.MACROPHAGE,System.Immune System.Spleen.SPLEEN,System.Nervous System.PNS.MOTOR NEURON,System.Immune System.Thymus.THYMOCYTE,System.Immune System.Thymus.THYMUS,System.Integumentary System.Skin.FIBROBLAST,System.Integumentary System.Skin.HAIR FOLLICLE,System.Muscular System.Skeletal muscle.MYOBLAST,System.Nervous System.CNS.CEREBELLUM,System.Connective Tissue.Bone.STROMAL CELL,System.Nervous System.CNS.NEURON,System.Nervous System.CNS.OLIGODENDROCYTE,System.Nervous System.CNS.SPINAL CORD,System.Nervous System.CNS.MIDBRAIN
ACE,7.61202,8.69241,6.74922,5.70924,5.37289,7.13384,9.73205,4.38682,6.71195,3.89584,5.63312,4.49902,3.05618,4.31312,6.07935,5.47412,6.74966,7.95551,8.01896,4.43111,6.76399,7.53071,5.00836,2.41968,3.89584,4.05534,4.99267,4.57973,4.21911,6.09132,7.93315,3.76961,3.60651,4.84279,3.1737,5.02256,7.26685,5.69219,6.56004,7.00003,4.05534,6.37631,4.13876,6.42264,5.98306,5.91845,4.77752,5.57065,5.16956,7.09227,6.53965,5.484,5.45333,4.05534,4.43111,3.83218,4.71212,10.6134,9.06713,4.63537,4.38682,3.48123,3.73874,6.11658,5.18213,3.56825,3.56825,6.00751,3.9543,2.61696,4.67269,4.79364
ACTN3,0.113644,0.113644,1.20968,2.61696,1.20968,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,11.7585,0.113644,1.20968,1.20968,0.661663,0.113644,1.81287,1.20968,0.113644,1.81287,1.20968,1.81287,1.20968,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,2.16272,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,2.16272,0.113644,1.20968,0.113644,1.20968,0.113644
ADRB2,3.28517,3.70787,6.17424,0.113644,6.67484,1.81287,4.21911,5.28658,4.1585,8.92875,6.24863,6.25074,8.88232,8.02354,3.83218,4.11061,3.83218,2.41968,7.14836,4.47438,6.21812,2.77595,3.97909,6.39847,2.92457,3.28517,3.56825,3.83272,3.1737,2.92457,7.57242,4.05534,3.28517,3.56825,4.38682,5.82639,1.20968,5.28658,5.74381,4.11061,6.74514,4.11061,5.73498,4.11061,4.81015,6.89949,4.43111,6.06605,6.57131,0.113644,0.113644,8.04145,7.84657,4.16691,5.40837,6.8596,5.49388,5.57065,6.45202,7.17515,1.81287,4.11061,4.77752,4.47438,4.72917,6.45202,2.61696,3.56825,2.16272,1.81287,5.61397,1.81287
ADRB3,3.22943,2.41968,1.20968,1.81287,1.81287,1.81287,1.20968,1.20968,0.113644,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,1.20968,1.20968,1.81287,4.82627,1.20968,2.92457,3.05618,2.16272,0.113644,0.113644,1.20968,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,1.20968,1.20968,0.113644,1.20968,1.20968,2.16272,1.20968,1.20968,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,4.80976,0.113644,2.99037,1.81287,1.81287,2.16272,1.81287,1.20968,1.81287,1.81287,1.81287,1.20968,3.39116,2.16272,1.20968,1.9878,1.20968,2.41968,1.20968,1.20968,1.81287,2.61696,0.113644
AGTR2,0.113644,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
AQP1,13.3799,6.34975,12.185,0.113644,11.8166,1.9878,8.33578,4.71212,4.03246,2.16272,8.28634,1.81287,2.16272,2.16272,7.13892,4.26947,5.12981,2.51832,8.3493,8.4916,12.5929,5.61307,6.70079,3.9543,10.2241,3.56825,3.33816,4.77745,10.0519,1.81287,10.852,5.40837,3.89584,3.39116,2.41968,3.56825,5.88569,6.27464,6.48238,5.67402,5.85482,5.34282,3.56825,4.9313,4.3519,2.77595,0.113644,3.83218,2.41968,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,1.81287,1.81287,1.20968,1.20968,1.20968,2.16272,0.113644,1.20968,4.67269,8.44928,3.64478,9.75599,3.76961,3.39116,3.56825,14.3096,3.56825
AMPD1,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,12.6791,0.113644,0.113644,0.113644,0.113644,0.113644,3.28517,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
BDKRB2,7.54002,8.28094,3.80089,0.113644,3.83272,0.113644,5.96743,4.77752,5.56727,7.59665,3.1737,7.23909,8.35624,7.45283,6.83068,3.70787,5.51459,0.113644,5.07842,2.92457,4.79451,2.77595,4.67269,5.69219,2.41968,1.20968,5.52384,7.51292,2.77595,3.70787,3.83218,2.92457,1.51127,5.12981,6.92548,5.02256,4.71212,6.17424,7.36331,11.5386,5.83091,7.75317,1.20968,7.65065,7.50615,0.113644,0.113644,4.96278,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,7.29945,5.01482,2.92457,4.38682,7.40774,1.81287,1.20968,2.77595,1.20968
CDKN1A,9.89681,12.2574,10.4815,8.54663,9.55748,11.9555,9.82236,12.0966,12.6308,12.5631,10.5612,11.8151,12.4134,11.6169,13.0325,9.42341,10.8647,7.47879,7.9743,9.96866,11.6176,9.21556,10.2793,13.1266,9.01157,9.17601,10.1419,11.2362,9.68003,9.92285,7.83709,11.1312,5.63611,9.7344,11.1055,9.6997,9.11166,12.5558,11.0803,12.7725,11.6878,12.795,12.2981,12.245,12.2726,9.24615,7.26685,10.4354,9.83068,9.08045,9.9708,6.29423,8.66182,9.6066,10.0643,9.21232,9.28798,12.7328,12.2531,9.88286,7.70435,4.51527,5.85085,11.9256,10.9566,11.9948,4.87314,11.5276,9.31882,10.6614,9.76916,8.55271
CKM,1.20968,0.113644,14.5294,0.113644,14.7221,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,1.81287,0.113644,2.61696,0.113644,1.20968,1.20968,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,1.20968,0.113644,16.5074,1.20968,1.20968,0.113644,0.113644,0.113644,2.41968,0.113644,0.113644,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.71212,1.20968,1.20968,1.81287,1.81287,1.20968,0.113644
COL5A1,8.87845,1.20968,9.56846,7.02366,9.4772,7.82356,9.44557,6.27464,9.38421,3.39116,7.90088,6.77144,7.90918,6.45202,14.8584,7.29945,7.76936,7.05908,11.0075,10.899,12.2437,9.69695,8.46413,9.56017,7.57981,7.4407,7.74042,8.99358,8.81617,3.64478,9.29509,10.5407,7.77546,8.50863,8.24919,10.2307,7.80811,12.8803,10.9732,13.0046,13.2403,14.5779,6.59258,13.3078,14.8264,4.00388,2.41968,8.23902,6.65623,0.113644,0.113644,2.41968,2.41968,5.63142,0.113644,0.113644,2.92457,0.113644,1.20968,3.89584,5.8662,4.43111,5.89404,12.4343,12.3091,11.8713,5.57065,12.72,7.45868,9.18625,7.67462,5.90239
FTO,10.6166,10.7272,9.65717,8.44455,9.90836,8.90441,10.0851,8.93702,9.21804,9.6486,9.15057,8.90253,9.148,9.44953,9.69056,9.7965,9.19975,10.1816,10.2226,10.2872,9.72061,9.45366,10.9539,9.1244,10.4914,10.6322,9.93974,9.77057,10.6913,10.3761,10.0643,10.3487,10.3386,9.38365,9.67364,9.65802,10.4476,10.3265,9.95441,9.74973,10.0195,9.67538,9.55125,10.0636,9.67156,9.45601,10.2517,9.7299,10.5837,10.7462,10.4202,9.48277,8.86348,9.58059,10.0258,8.46109,8.9198,8.70389,8.76373,9.67169,10.6454,10.5656,10.0678,9.9665,10.6061,10.3098,11.5357,10.0552,10.7044,10.4364,11.2217,11.0944
GABPB1,8.43178,8.33958,8.39705,9.20348,8.55496,8.69744,8.94437,8.31069,8.44293,8.50053,8.69555,9.04466,8.2838,8.8197,8.58717,8.53144,8.71085,8.92875,9.25377,8.54663,8.77975,8.69744,9.13259,8.35972,8.49652,8.81277,9.01947,8.89594,8.51328,9.01947,8.98773,8.81277,9.2993,8.86348,9.18514,8.85952,8.37004,8.71085,8.69555,8.60063,9.05685,8.62634,8.21935,8.3017,8.46612,9.15057,9.73205,8.86664,9.16516,8.95108,8.71667,9.6663,9.31175,9.1894,9.37661,9.15739,9.84186,9.03285,8.89247,10.1671,9.38365,10.873,10.407,8.73944,8.51018,8.90075,9.47119,8.66015,9.45761,9.13346,8.11086,9.37912
GALNTL6,0.113644,1.81287,1.20968,3.83218,1.20968,2.77595,1.20968,0.113644,0.113644,1.81287,1.20968,1.81287,0.113644,1.81287,1.20968,2.41968,1.20968,3.28517,0.113644,0.113644,1.20968,1.20968,2.77595,2.77595,4.74622,3.56825,1.20968,1.20968,4.77752,1.20968,1.81287,2.61696,3.10487,1.20968,2.92457,0.113644,5.18213,0.113644,1.20968,1.20968,1.20968,1.20968,5.45112,1.20968,1.20968,0.113644,0.113644,1.20968,1.81287,0.113644,0.113644,1.20968,0.113644,1.20968,0.113644,1.20968,0.113644,0.113644,1.20968,0.113644,3.64478,0.113644,1.20968,1.20968,2.77595,0.113644,4.21911,0.113644,4.80976,2.92457,3.11494,4.57973
GSTP1,11.1329,11.2727,10.8049,9.9367,10.3909,11.363,11.0659,8.97262,8.75131,13.7407,8.67553,12.9518,13.4306,12.4039,11.8546,11.7729,12.0057,9.33276,10.9808,11.6537,11.0439,11.5694,10.2704,13.0725,11.6012,11.5027,7.04677,12.1136,11.7783,9.45601,10.6984,11.149,10.5095,9.53006,13.0297,13.4553,10.7593,11.2278,11.8862,11.4912,11.6939,11.8108,13.2232,11.743,11.5763,11.1588,11.6751,12.2614,10.4914,10.1263,10.9402,8.77777,10.2549,12.3154,11.4265,11.0944,10.9905,11.3405,11.0751,10.4955,11.6947,9.78717,9.90108,11.6471,10.7418,11.4602,8.08888,11.5786,11.2575,10.5773,10.202,11.2223
HFE,5.58184,7.21122,6.21406,3.28517,7.08418,5.55187,6.24863,7.56734,8.42123,7.14836,7.69494,7.53741,7.03085,6.96122,7.31657,5.57065,6.66685,4.47438,8.18742,7.42671,7.80175,5.85482,7.07,7.00978,4.11061,5.20789,7.13286,6.25145,4.05534,4.43111,5.99799,6.39847,4.19301,6.9828,8.19723,6.9657,3.1737,7.95029,6.80572,8.02123,7.58069,7.51341,7.52206,7.57612,7.5793,6.39847,6.47781,7.31657,7.56988,6.30103,7.24729,7.17282,6.70196,6.20187,6.31418,5.484,5.12981,6.58321,7.58896,5.70924,4.67269,5.57065,4.96278,7.557,7.26329,7.13293,3.48123,7.78955,3.64478,3.48123,5.12981,4.16691
HIF1A,12.0493,10.0339,10.5373,10.7634,11.0577,11.3274,10.8815,11.1376,11.2781,12.4857,10.6394,10.8135,11.5809,11.8306,12.1493,10.9265,11.069,10.8366,9.80014,10.837,10.937,11.2189,11.8644,12.4521,10.4422,11.5372,11.7931,11.7626,10.5743,11.5633,8.90075,11.6819,10.8675,11.5372,12.3242,11.7179,9.84005,12.7997,11.7214,11.9183,11.9091,12.7997,10.8194,12.2246,13.2369,10.7948,11.2451,11.8448,11.0085,11.7857,11.1964,11.86,11.1681,10.483,9.11669,10.2866,11.1864,11.5253,11.8287,11.3081,10.7308,10.9886,10.9421,12.5307,12.0367,12.8134,10.9623,13.0991,11.0609,11.233,11.3664,10.4594
MCT1,9.50956,10.0186,11.5298,10.0643,9.99948,9.8877,8.4916,10.4893,10.5953,10.3487,10.144,10.0034,11.3839,10.8157,10.6394,10.5299,10.757,9.17755,9.03975,10.2838,9.08015,9.34389,7.95342,10.7821,10.0663,11.3493,7.50248,11.2254,10.0303,5.44176,10.8433,10.7593,9.82955,7.95551,9.83132,11.0947,8.63669,10.7843,10.0303,9.24262,10.6222,10.2791,9.71601,10.2349,10.4051,8.27579,8.31511,9.71032,10.1555,0.113644,0.113644,4.19301,6.61965,10.4898,9.00523,6.38743,9.53567,8.86348,9.5661,9.15856,9.73955,9.53567,8.13585,10.4155,8.53954,10.7124,8.25328,10.393,9.7887,10.747,9.34995,8.95123
MYBPC3,1.20968,0.113644,14.8916,0.113644,14.9608,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,1.20968,0.113644,1.20968,1.20968,1.81287,1.20968,1.20968,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,1.51127,0.113644,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,7.32502,7.99022,1.20968,0.113644,3.89584,1.20968,5.25971,5.63312,1.81287,0.113644,1.20968,1.81287,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,0.113644
NFATC4,7.42619,4.16486,8.35624,3.05618,7.95859,4.94699,7.90918,5.28658,7.58314,6.90917,4.84279,5.02841,5.70924,6.93158,9.58486,7.14836,6.45202,6.74922,9.13478,7.34635,9.4478,8.21516,6.52299,4.16691,7.78955,7.80811,5.64397,8.3284,8.25667,5.92718,6.95675,8.56328,7.01781,6.26748,1.9878,6.17424,4.05534,8.93702,8.47114,11.0099,9.77814,9.56796,9.72463,9.13811,10.082,2.77595,0.113644,5.98306,4.21911,0.113644,0.113644,1.81287,2.16272,7.2901,0.113644,6.62463,2.41968,1.20968,1.81287,1.81287,4.21911,4.59911,4.6924,9.38595,9.38471,7.07696,6.26032,9.03975,6.88087,8.76373,7.74633,5.65482
NOS3,7.32777,3.80089,7.28076,4.93037,7.43559,4.84279,5.25971,3.83218,4.1115,4.00388,6.23741,3.66893,4.59911,4.16691,4.63537,4.26947,5.65482,6.40441,6.50485,5.38652,9.52366,5.65482,5.20789,3.89584,4.56034,3.83218,4.11061,4.45275,4.56034,4.05534,6.59685,3.48123,3.64478,4.38682,3.39116,4.26947,4.59911,4.47438,5.40837,3.05618,4.61724,4.56034,4.9151,3.89584,3.70787,5.61397,4.11061,4.96278,4.43111,5.99799,5.31558,4.9313,5.49388,5.23546,5.63312,4.16691,6.33362,4.31312,3.70787,5.5514,4.51527,5.63312,5.15597,3.9543,4.94657,3.28517,5.51459,3.76961,3.9543,4.26947,5.7177,3.39116
PPARA,11.5379,10.868,10.6947,8.43746,11.0094,9.17099,10.4065,10.3487,9.37741,8.70389,10.8999,7.92758,8.33964,8.69744,8.63669,8.62241,9.01157,8.86883,9.83133,8.63669,9.04389,8.70389,9.59511,7.98584,8.4413,9.50996,7.78935,8.66896,8.18352,8.94284,10.786,8.11752,7.59131,7.51938,6.57726,8.46608,6.79623,9.21084,8.90936,9.15338,9.46511,8.43178,8.74961,8.54454,8.49502,8.50053,9.20348,8.21284,8.66629,9.05898,9.15856,8.31009,8.0758,8.62629,9.70517,9.63087,8.45606,9.15856,8.62905,8.33578,7.7319,9.08539,8.91817,8.67553,9.5379,8.6722,9.22919,8.66182,7.49889,8.35306,9.95109,7.31371
PPARGC1A,11.4578,9.04441,10.7693,5.78326,11.3184,4.94699,5.51459,7.68261,4.73966,6.09783,9.34152,3.65337,1.81287,5.47412,2.41968,5.8662,5.02256,5.56102,4.84279,4.51527,3.39116,3.70787,8.49421,4.77752,6.45202,7.10033,4.43111,4.96226,6.37631,4.47438,10.1316,6.37631,6.452,3.89584,4.67269,2.61696,7.7752,6.48238,4.59911,5.40837,5.88569,2.77595,5.09238,1.81287,3.22943,3.05618,0.113644,4.26947,4.05534,5.02256,0.113644,2.16272,1.81287,1.20968,0.113644,1.20968,1.20968,0.113644,2.41968,1.20968,5.02256,1.20968,1.81287,3.89584,5.77633,4.21911,9.08301,2.16272,6.4358,6.61965,7.0431,6.45166
PPARGC1B,7.33403,9.539,9.01307,7.69006,8.80348,6.00875,6.78736,6.78736,6.55378,7.27416,6.66685,6.7482,7.32318,7.74633,4.80976,7.45868,7.75317,6.70695,7.37048,6.77744,6.1222,7.41137,7.02282,6.13094,5.61397,7.21123,6.93534,6.25145,4.21911,5.19501,8.66986,5.28658,4.55719,7.10985,6.56004,7.00978,7.49889,6.56004,7.10985,3.9543,4.89983,5.02256,8.16324,5.3292,5.28658,7.50607,7.90454,7.00978,7.67133,7.38198,7.51341,7.01672,6.93534,8.9349,8.33012,6.66205,7.22538,8.69932,8.24738,7.00978,6.77744,7.94077,7.81817,5.31558,6.87723,5.69219,9.63751,5.41928,6.07935,5.20789,6.95147,5.82727
PPP3R1,8.67426,8.67103,9.1614,7.88005,8.58766,7.86717,9.05898,9.39711,9.95628,9.20348,9.65632,9.78047,9.68221,9.96931,9.67538,9.41348,9.45371,8.52687,9.29283,8.70774,9.31551,8.73087,9.20716,9.40874,9.90899,9.92465,9.59657,9.18069,9.56017,9.38218,10.4408,9.83619,9.90364,9.77515,9.33332,8.55681,10.3565,9.61987,9.54794,9.78113,9.7182,9.96866,9.64728,9.96715,9.94613,9.72838,8.36448,9.59322,9.99958,7.47443,6.20187,10.5269,10.3836,9.62366,8.06575,10.465,10.1464,9.9665,9.89148,9.36558,9.22288,10.2356,9.77809,9.60653,9.22712,8.58717,11.4421,9.44537,9.61646,9.85085,9.70703,9.459
PRDM1,4.97429,8.91159,4.96278,5.23546,3.76961,6.18762,7.05535,4.43111,4.77745,8.03109,5.23546,5.7913,7.99474,7.68261,5.59303,3.9543,6.68963,5.61397,5.65482,4.56034,5.67402,6.62962,5.36467,3.89584,3.1737,4.93037,4.63537,6.89842,3.28517,4.16691,4.56034,5.5514,3.33816,5.25971,6.12376,6.31418,0.113644,5.59303,8.60987,6.41035,4.63537,5.8662,4.24429,6.25447,5.23546,8.75978,5.99799,6.46517,8.58225,3.89584,4.96278,9.26852,9.67169,6.63368,12.675,7.00003,8.4916,9.3095,9.36558,9.50903,2.92457,3.9543,5.65959,6.9657,8.62941,5.38652,5.65482,7.03092,2.92457,3.83218,5.73498,0.113644
RBFOX1,2.16272,0.113644,9.69179,8.20847,10.2742,8.35155,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,0.113644,0.113644,3.11494,2.77595,1.81287,0.113644,7.53071,4.40897,0.113644,1.81287,6.50485,3.05618,10.7365,1.81287,9.95779,0.113644,0.113644,0.113644,10.2399,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,8.53362,0.113644,0.113644,0.113644,1.81287,6.99029,10.622,0.113644,5.5514,2.92457,7.50974,7.16175
